iter	Passed	Remaining
272	6349	16908
273	6399	16955
274	6411	16903
275	6435	16881
276	6470	16889
277	6476	16821
278	6512	16829
279	6518	16762
280	6527	16702
281	6541	16655
282	6574	16656
283	6580	16589
284	6617	16601
285	6626	16542
286	6662	16552
287	6672	16494
288	6707	16501
289	6742	16506
290	6747	16440
291	6767	16408
292	6796	16400
293	6844	16436
294	6857	16387
295	6889	16386
296	6899	16330
297	6937	16341
298	6943	16277
299	6975	16275
300	6988	16228
301	7025	16237
302	7031	16174
303	7080	16210
304	7086	16147
305	7118	16143
306	7151	16143
307	7160	16088
308	7194	16087
309	7199	16025
310	7232	16023
311	7240	15965
312	7272	15963
313	7278	15901
314	7333	15947
315	7342	15893
316	7357	15851
317	7412	15896
318	7425	15852
319	7481	15898
320	7492	15848
321	7525	15844
322	7530	15784
323	7584	15824
324	7594	15772
325	7628	15771
326	7635	15715
327	7666	15707
328	7672	15648
329	7686	15605
330	7696	15556
331	7706	15506
332	7737	15498
333	7744	15441
334	7776	15437
335	7787	15390
336	7835	15415
337	7844	15364
338	7896	15397
339	7907	15349
340	7938	15342
341	7944	15285
342	7978	15282
343	7985	15227
344	8036	15257
345	8044	15204
346	8077	15200
347	8082	15143
348	8092	15095
349	8124	15088
350	8131	15035
351	8150	15004
352	8157	14952
353	8165	14901
354	8198	14895
355	8221	14872
356	8255	14869
357	8261	14815
358	8294	14809
359	8303	14761
360	8331	14747
361	8390	14787
362	8414	14765
363	8463	14787
364	8469	14735
365	8503	14730
366	8509	14676
367	8541	14668
368	8547	14615
369	8578	14606
370	8584	14555
371	8617	14547
372	8637	14519
373	8665	14504
374	8699	14499
375	8707	14450
376	8738	14440
377	8745	14390
378	8778	14383
379	8784	14332
380	8817	14325
381	8831	14288
382	8853	14262
383	8876	14239
384	8913	14237
385	8918	14187
386	8952	14179
387	8960	14132
388	8992	14124
389	8998	14073
390	9024	14056
391	9053	14041
392	9078	14022
393	9110	14011
394	9116	13962
395	9135	13933
396	9154	13904
397	9166	13865
398	9176	13821
399	9210	13815
400	9248	13815
401	9263	13780
402	9270	13732
403	9291	13706
404	9329	13706
405	9339	13664
406	9358	13635
407	9392	13628
408	9398	13580
409	9430	13571
410	9437	13525
411	9479	13529
412	9491	13489
413	9505	13455
414	9537	13444
415	9543	13397
416	9575	13387
417	9584	13344
418	9614	13331
419	9642	13315
420	9657	13281
421	9693	13276
422	9703	13236
423	9750	13246
424	9758	13203
425	9791	13192
426	9797	13147
427	9829	13136
428	9836	13092
429	9854	13062
430	9888	13054
431	9905	13023
432	9960	13042
433	9968	13000
434	10000	12989
435	10008	12946
436	10040	12935
437	10046	12890
438	10054	12849
439	10098	12852
440	10111	12817
441	10160	12827
442	10171	12789
443	10211	12787
444	10221	12748
445	10257	12741
446	10267	12702
447	10299	12690
448	10307	12648
449	10351	12651
450	10359	12611
451	10397	12605
452	10409	12569
453	10448	12565
454	10454	12522
455	10489	12514
456	10498	12473
457	10532	12464
458	10541	12424
459	10553	12388
460	10595	12388
461	10601	12345
462	10631	12330
463	10648	12300
464	10680	12287
465	10686	12245
466	10718	12233
467	10726	12193
468	10734	12153
469	10782	12158
470	10828	12162
471	10873	12163
472	10893	12136
473	10968	12171
474	10985	12141
475	11048	12162
476	11059	12126
477	11119	12143
478	11136	12113
479	11153	12082
480	11176	12058
481	11230	12069
482	11239	12030
483	11259	12004
484	11300	11999
485	11308	11960
486	11346	11951
487	11354	11912
488	11397	11909
489	11405	11870
490	11444	11864
491	11450	11823
492	11487	11813
493	11495	11774
494	11531	11764
495	11538	11725
496	11571	11711
497	11579	11672
498	11598	11644
499	11615	11615
500	11665	11619
501	11676	11583
502	11707	11567
503	11713	11527
504	11736	11503
505	11754	11475
506	11787	11461
507	11795	11423
508	11842	11423
509	11854	11389
510	11891	11379
511	11897	11339
512	11930	11325
513	11936	11286
514	11970	11273
515	11976	11234
516	12009	11219
517	12018	11183
518	12057	11174
519	12070	11141
520	12095	11120
521	12114	11093
522	12149	11080
523	12156	11042
524	12188	11027
525	12194	10989
526	12226	10973
527	12233	10936
528	12290	10943
529	12309	10915
530	12362	10918
531	12370	10882
532	12410	10873
533	12417	10836
534	12454	10825
535	12460	10786
536	12492	10770
537	12502	10736
538	12555	10738
539	12561	10700
540	12566	10662
541	12572	10624
542	12604	10607
543	12611	10571
544	12646	10557
545	12681	10544
546	12687	10507
547	12712	10485
548	12759	10482
549	12768	10446
550	12775	10410
551	12787	10378
552	12799	10346
553	12843	10339
554	12850	10303
555	12888	10292
556	12899	10259
557	12935	10246
558	12945	10213
559	12997	10211
560	13002	10174
561	13036	10160
562	13043	10124
563	13051	10089
564	13085	10074
565	13092	10039
566	13125	10023
567	13133	9988
568	13170	9976
569	13180	9943
570	13189	9909
571	13220	9891
572	13253	9876
573	13259	9840
574	13267	9806
575	13298	9789
576	13304	9753
577	13337	9737
578	13342	9701
579	13372	9683
580	13394	9659
581	13404	9627
582	13451	9621
583	13465	9592
584	13525	9595
585	13537	9564
586	13551	9534
587	13587	9520
588	13621	9505
589	13635	9475
590	13654	9449
591	13689	9434
592	13695	9399
593	13726	9382
594	13734	9348
595	13756	9325
596	13778	9300
597	13814	9286
598	13820	9251
599	13853	9235
600	13859	9201
601	13892	9184
602	13900	9151
603	13935	9136
604	13947	9106
605	13955	9073
606	14007	9068
607	14017	9037
608	14050	9020
609	14056	8987
610	14089	8970
611	14094	8936
612	14103	8904
613	14138	8888
614	14146	8855
615	14193	8848
616	14202	8816
617	14234	8798
618	14242	8766
619	14269	8745
620	14288	8720
621	14319	8702
622	14324	8668
623	14355	8650
624	14362	8617
625	14389	8597
626	14427	8582
627	14443	8555
628	14482	8542
629	14492	8511
630	14516	8489
631	14549	8471
632	14555	8438
633	14568	8410
634	14597	8390
635	14638	8378
636	14657	8352
637	14694	8337
638	14700	8304
639	14734	8288
640	14741	8256
641	14747	8223
642	14780	8206
643	14786	8173
644	14801	8146
645	14829	8126
646	14876	8116
647	14882	8084
648	14918	8068
649	14927	8037
650	14961	8020
651	14970	7990
652	15005	7973
653	15014	7943
654	15048	7926
655	15058	7896
656	15103	7885
657	15112	7854
658	15148	7838
659	15153	7806
660	15165	7777
661	15202	7762
662	15210	7731
663	15243	7713
664	15250	7682
665	15299	7672
666	15310	7643
667	15348	7628
668	15355	7597
669	15387	7579
670	15393	7547
671	15428	7530
672	15434	7499
673	15443	7469
674	15475	7450
675	15482	7420
676	15501	7395
677	15522	7371
678	15572	7362
679	15579	7331
680	15612	7313
681	15618	7282
682	15638	7258
683	15671	7239
684	15677	7209
685	15716	7193
686	15738	7170
687	15774	7153
688	15781	7123
689	15813	7104
690	15819	7074
691	15854	7056
692	15860	7026
693	15892	7007
694	15899	6977
695	15932	6959
696	15949	6933
697	15991	6919
698	16001	6890
699	16034	6871
700	16040	6841
701	16057	6816
702	16088	6797
703	16099	6769
704	16133	6750
705	16140	6721
706	16159	6696
707	16204	6683
708	16212	6654
709	16244	6634
710	16250	6605
711	16280	6585
712	16286	6555
713	16314	6535
714	16351	6517
715	16369	6492
716	16411	6477
717	16421	6449
718	16450	6429
719	16495	6414
720	16502	6385
721	16534	6366
722	16540	6337
723	16562	6313
724	16617	6303
725	16624	6274
726	16663	6257
727	16673	6229
728	16707	6210
729	16717	6183
730	16756	6166
731	16762	6137
732	16806	6121
733	16816	6094
734	16848	6074
735	16856	6046
736	16889	6026
737	16896	5998
738	16930	5979
739	16937	5951
740	16968	5931
741	16989	5907
742	17022	5888
743	17053	5867
744	17083	5847
745	17099	5822
746	17128	5801
747	17161	5781
748	17180	5757
749	17224	5741
750	17231	5713
751	17264	5693
752	17274	5666
753	17308	5647
754	17315	5619
755	17347	5599
756	17355	5571
757	17410	5558
758	17429	5534
759	17450	5510
760	17486	5491
761	17492	5463
762	17505	5437
763	17545	5419
764	17551	5391
765	17582	5371
766	17589	5343
767	17627	5325
768	17645	5300
769	17667	5277
770	17706	5259
771	17712	5231
772	17755	5214
773	17764	5187
774	17799	5167
775	17821	5144
776	17871	5129
777	17879	5101
778	17895	5076
779	17931	5057
780	17937	5029
781	17953	5004
782	17995	4987
783	18001	4959
784	18032	4938
785	18074	4921
786	18084	4894
787	18130	4877
788	18140	4851
789	18172	4830
790	18185	4804
791	18191	4777
792	18208	4753
793	18251	4735
794	18258	4708
795	18270	4682
796	18289	4658
797	18333	4640
798	18339	4613
799	18373	4593
800	18382	4567
801	18426	4549
802	18438	4523
803	18490	4507
804	18509	4483
805	18545	4463
806	18557	4438
807	18594	4418
808	18600	4391
809	18635	4371
810	18645	4345
811	18681	4325
812	18689	4298
813	18730	4280
814	18738	4253
815	18770	4232
816	18811	4213
817	18817	4186
818	18831	4161
819	18860	4140
820	18893	4119
821	18900	4092
822	18921	4069
823	18958	4049
824	18967	4023
825	18980	3998
826	19015	3977
827	19027	3952
828	19056	3930
829	19096	3911
830	19103	3885
831	19115	3859
832	19148	3838
833	19163	3814
834	19198	3793
835	19230	3772
836	19238	3746
837	19270	3725
838	19277	3699
839	19309	3678
840	19319	3652
841	19336	3628
842	19369	3607
843	19407	3587
844	19413	3560
845	19445	3539
846	19452	3513
847	19485	3492
848	19497	3467
849	19505	3442
850	19521	3417
851	19555	3397
852	19563	3371
853	19594	3349
854	19628	3328
855	19637	3303
856	19646	3278
857	19679	3257
858	19687	3231
859	19715	3209
860	19746	3187
861	19780	3166
862	19786	3141
863	19824	3120
864	19832	3095
865	19859	3073
866	19868	3047
867	19883	3023
868	19917	3002
869	19923	2977
870	19959	2956
871	19965	2930
872	19997	2909
873	20004	2883
874	20017	2859
875	20056	2839
876	20065	2814
877	20102	2793
878	20109	2768
879	20136	2745
880	20168	2724
881	20175	2699
882	20205	2677
883	20212	2652
884	20225	2628
885	20263	2607
886	20269	2582
887	20304	2560
888	20310	2535
889	20350	2515
890	20358	2490
891	20391	2468
892	20425	2447
893	20431	2422
894	20444	2398
895	20474	2376
896	20513	2355
897	20551	2334
898	20565	2310
899	20597	2288
900	20603	2263
901	20634	2241
902	20641	2217
903	20674	2195
904	20688	2171
905	20726	2150
906	20734	2125
907	20765	2104
908	20771	2079
909	20802	2057
910	20811	2033
911	20821	2009
912	20851	1986
913	20888	1965
914	20901	1941
915	20931	1919
916	20966	1897
917	20972	1873
918	21023	1852
919	21033	1829
920	21074	1807
921	21100	1785
922	21154	1764
923	21169	1741
924	21201	1719
925	21244	1697
926	21250	1673
927	21286	1651
928	21300	1627
929	21343	1606
930	21350	1582
931	21385	1560
932	21394	1536
933	21416	1513
934	21441	1490
935	21450	1466
936	21463	1443
937	21493	1420
938	21499	1396
939	21542	1375
940	21553	1351
941	21568	1328
942	21602	1305
943	21610	1281
944	21642	1259
945	21649	1235
946	21685	1213
947	21692	1189
948	21730	1167
949	21739	1144
950	21771	1121
951	21778	1098
952	21812	1075
953	21822	1052
954	21830	1028
955	21864	1006
956	21872	982
957	21878	959
958	21895	936
959	21928	913
960	21936	890
961	21979	868
962	21984	844
963	22017	822
964	22022	798
965	22032	775
966	22065	752
967	22071	729
968	22109	707
969	22119	684
970	22154	661
971	22164	638
972	22176	615
973	22207	592
974	22216	569
975	22250	547
976	22256	523
977	22293	501
978	22302	478
979	22334	455
980	22341	432
981	22375	410
982	22382	387
983	22419	364
984	22429	341
985	22461	318
986	22467	295
987	22502	273
988	22512	250
989	22551	227
990	22557	204
991	22599	182
992	22615	159
993	22651	136
994	22657	113
995	22691	91
996	22696	68
997	22735	45
998	22745	22
999	22781	0
